text,label
"Приложение классное! Есть трансляции, и можно смотреть видео с тв повторно. Смотрю даже в автобусе или в машине. Вообщем приложение классное, советую.",3
"Люблю китайские дорамы с историческими костюмами, уникальной природой, изящными интерьерами с гармоничным сочетанием красок. Нельзя не отметить экзотическую красоту  китайских артистов.",0
Не хватает лайков для комментариев и возможности отвечать - на коммеотарии..,1
ВСЁ МНЕ НРАВИТСЯ  АОАОАОАОАОААОАОАОА,3
увеличить экономические новости и разборы рынков акций,1
"👍👍👍👍👍. Но есть минус, нельзя смотреть фильмы как с телефона на телевизор, как в Ютубе",3
ttt,0
Good ,0
скоростьт,0
Всё прсто,3
Краткость,0
Очень тормозит👎👎👎,1
"Упростите подключение монетизации. Сделайте вывод денег на платёжные системы киви, ЮMoney и т.д.",1
"Рутюб существует с 2006 года и прошло уже 17 лет,а тупейшие разработчики не могут добавить ""ответ на комментарий в комментариях"",а так же в прямом эфире нельзя комментировать! Ну почему вы настолько тупые?каким образом вы хотите хоть как-то подвинуть Ютуб ?ну что такого трудного просто взять и скопировать????",1
Реклама,0
"Захожу в приложение только ради обзоров матчей по футболу от МатчТВ. Мне этого хватает, что бы от приложения появлялись негативные эмоции. 
1) Долго ждёшь начальной загрузки видео
2) Приложение криво переходит в полноэкранный режим. Бросается в глаза
3) Видео, даже если оно идёт 5 минут, нужно перезагружать несколько раз, потому что приложение просит это сделать. 
Все это на айфоне 11, а не на простецком андройде
Балл накинул за то, что оно хоть как-то работает!",1
Простота и доступность.,3
Долго грузится любой видосик. У меня с инетом всё в порядке. В Ютубе спокойно открываются видосики с разрешением 720 а в рутубе даже 240 долго грузится.,1
"Скажите пожалуйста,когда вы приложение перестанет терять логин и пароль? Ну на самом деле это уже бесит, это так сложно исправить? Или это у вас так задумано,чтобы не забывали логин и пароль? Ответ разработчика конечно ожидаемый, НА ВСЕХ УСТРОЙСТВАХ И НА ВСЕХ ВЕРСИЯХ ПРИЛОЖЕНИЯ, не занимайтесь отписками,решайте проблему. это происходит практически у всех пользователей, у меня на нескольких смартфонах(vivo, huawei,asus),в планшете(huawei) , LG web os , везде одно и тоже",1
Ваш комментарий,0
"Просит авторизацию каждый запуск. Раздел с подписками убогий, рекомендации вообще не в тему. Крч аналогичным сервисам никак не конкурент, ладно хоть основную функцию выполняет сносно",1
При каждом открытии приложения надо вводить пароль. В Ютуб всё намного проще и удобнее,1
"тратится ли трафик на скачаивание видеоряда видео, если я его просто прослушиваю с заблокированным экраном смартфона?",2
Качество ,0
Супер ,3
Прекрасное приложение,3
Здравствуйте👍,3
"Добавить вертикальные видео.
Добавить зум чтобы регулировать фото. 
 ",1
нет звука ,1
"Уже уйму российских блогеров заблокировали на ютубе, а как оказалось аналогов ютуба у нас в стране нет. Разработчики не хотят ничего развивать, хотя сейчас времена представляют уникальную возможность оживить эту мёртвую платформу",1
great,0
"добавить различные статьи: юмор, рассказы,стихи и т.п.",1
Работы предстоит ещё много по улучшению...,1
Пока. Не смотрел,2
Отличное приложение.,3
"Не пользуюсь от слова ""совсем"". Ничего не работает. Кнопки слева, не реагируют никак. Всегда только альбомная ориентация. Может я что-то не понимаю, но у меня ничего не работает. Могу только посмотреть то, что изначально предлагает в ввиде рекламы. Поиск нужного контента не работает. Простите за мою глупость. Переустановил версию для телефона и все отлично! Все работает, соответственно оценку изменил. Всего хорошего в развитии этого приложения",1
"Не прогружаются никакие видео и превью, работает только вкладка в топе; видео никакие даже в этой вкладке не воспроизводятся невозможно зайти в меню настройки. проблема появилась в последнем обновлении модель аппарата iPhone 13 iOS 17.1",1
Простота и скорость.,3
"Минимум действий. Быстро,понятно.",3
"Невозможно работать со списком ""Посмотреть позже"". При добавлении видео, новое видео добавляется, но могут исчезнуть добавленные ранее. И, наоборот, при удалении из списка могут восстановиться удаленные ранее. Вообщем логика при добавлении/удалении непонятна.",1
Поменяйте иконку в уведомлении. Выглядит как тележка из супермаркета. Это не серьёзно.,1
Доступность,0
поиск,0
Стремится быть первым ,2
А монетизация есть?,2
"Удобный формат для просмотра видео. Очень лёгкая монетизация личного контента. Качество просмотра видео очень высокого качества. Также алгоритм подстраиваться под вкусы каждого человека.Рекомендую скачать именно это приложение, так как это удобная площадка для просмотра видеоконтента, а также размещение своего материала.",3
Добрый день! Добавьте возможность сохранять понравившиеся ролики в создаваемые папки.,1
Старые видео не показывает,1
Хорошее приложение,3
Все,0
Полет отличный?,0
"Пока неплохая замена ютубу, далее посмотрим. пока алгоритмы рекомендация сыроваты, но не так плохи",2
Все норм ,2
МОДЕРАЦИЯ ЗАГРУЖАЕМОЙ ТЕМАТИКИ НА ВЫСОКОМ УРОВНЕ.,3
Нифига не поняла,2
все,0
Не обнавляется идет ашибка,1
"аккаунт постоянно выкидывает, какой смысл в приложении, если даже там доступ не сохраняется?‍♀️ Еще: добавьте, пожалуйста, опцию ""удалить из рекомендаций"". Такой шлак (я извиняюсь) выпалает в рекомендациях,что глаза не знаешь куда деть. И кнопку ""техподдержка"" в приложении нужна. Что за бред, писать обращения на почту?‍♀️?‍♀️?‍♀️?‍♀️?‍♀️?‍♀️?‍♀️?‍♀️?‍♀️",1
Супер за фоновую прослушка но нужно добавить ответ на комментарий,2
Скорость,0
Приложения удобное .,3
"Поиск надо сделать, его нет",1
"Доброе утро всем, МБДОУ 8 город Киржач",0
Мешала реклама а так очень быстро и без заморочек,1
Рекламные модули сократить,1
скорость загрузки видео и кнопка просмотр на тв ,2
класс,3
Нет кол-во ракет,1
Мусор в телефоне 🗑,0
УМЕНШИТЕ МОДЕРАЦИЮ,1
Все очень хорошо приложение просто топ👍,3
Не моя тема.,1
поиск,0
"Улучшить поиск и выдавать только те запросы, которые задают",1
"То приходят уведомления о новых видео, то нет. Это напрягает.",1
"рутуб ,это не ютуб(((",1
Учитесь у Ютуб!,1
"Приложение еле как работает, ничего невозможно смотреть",1
Нельзя изменить комментарий. Сделаешь описку или ошибку и исправить нет возможности.,1
"Ну, надо работать! Упрощать! Очень много рекламы! Желаю успеха!",1
"фильмы нужны полные


",1
Просто!,3
все очень классно,3
